Name,Region
Middleton Grange,Western Suburbs
Miller,Western Suburbs
Millers Point,Sydney City
Milperra,Western Suburbs
Milsons Point,Lower North Shore
Minchinbury,Western Suburbs
Minto,South West
Miranda,Sutherland Shire
Mona Vale,Northern Beaches
Monterey,Southern Suburbs
Moorebank,Western Suburbs
Mortdale,Southern Suburbs
Mortlake,Inner West
Mosman,North Shore
Mount Annan,South West
Mount Colah,Northern Suburbs
Mount Druitt,Western Suburbs
Mount Lewis,Western Suburbs
Mount Pritchard,Western Suburbs
Mount Vernon,Western Suburbs
Mulgoa,Western Suburbs
Narellan,South West
Naremburn,Lower North Shore
Narrabeen,Northern Beaches
Narraweena,Northern Beaches
Narwee,Southern Suburbs
Neutral Bay,Lower North Shore
Newington,Western Suburbs
Newport,Northern Beaches
Newtown,Inner West
Normanhurst,Upper North Shore
North Rocks,Hills Shire
North Sydney,Lower North Shore
Northbridge,Lower North Shore
Northmead,Western Suburbs
Northwood,Lower North Shore
Oakhurst,Western Suburbs
Oakville,Northern Suburbs
Oatlands,Western Suburbs
Oatley,Southern Suburbs
Oran Park,South West
Orchard Hills,Western Suburbs
Oxley Park,Western Suburbs
Oyster Bay,Sutherland Shire
Paddington,Inner East
Padstow,Western Suburbs
Pagewood,Southern Suburbs
Palm Beach,Northern Beaches
Panania,Western Suburbs
Parklea,Western Suburbs
Parramatta,Western Suburbs
Peakhurst,Southern Suburbs
Pemulwuy,Western Suburbs
Pendle Hill,Western Suburbs
Pennant Hills,Hills Shire
Penrith,Western Suburbs
Penshurst,Southern Suburbs
Petersham,Inner West
Picnic Point,Western Suburbs
Pitt Town,Northern Suburbs
Plumpton,Western Suburbs
Point Piper,Eastern Suburbs
"Ponds, The",Hills Shire
Port Hacking,Sutherland Shire
Potts Point,Inner East
Prairiewood,Western Suburbs
Prestons,Western Suburbs
Prospect,Western Suburbs
Punchbowl,Western Suburbs
Putney,North Shore
Pymble,Upper North Shore
Pyrmont,Sydney City
Quakers Hill,Western Suburbs
Queens Park,Eastern Suburbs
Queenscliff,Northern Beaches
Raby,South West
Ramsgate,Southern Suburbs
Randwick,Eastern Suburbs
Redfern,Inner East
Regents Park,Western Suburbs
Revesby,Western Suburbs
Rhodes,Inner West
Richmond,Northern Suburbs
Riverstone,Hills Shire
Riverview,Lower North Shore
Riverwood,Western Suburbs
Rockdale,Southern Suburbs
Rodd Point,Inner West
Rooty Hill,Western Suburbs
Ropes Crossing,Western Suburbs
Rose Bay,Eastern Suburbs
Rosebery,Inner South
Rosehill,Western Suburbs
Roselands,Western Suburbs
Rosemeadow,South West
Roseville,North Shore
Rossmore,Western Suburbs
Rouse Hill,Hills Shire
Rozelle,Inner West
Ruse,South West
Rushcutters Bay,Eastern Suburbs
Russell Lea,Inner West
Rydalmere,Western Suburbs
Ryde,Northern Suburbs
Sadleir,Western Suburbs
Sandringham,Southern Suburbs
Sans Souci,Southern Suburbs
Schofields,Western Suburbs
Seaforth,Northern Beaches
Sefton,Western Suburbs
Seven Hills,Hills Shire
Shalvey,Western Suburbs
Silverwater,Western Suburbs
